id,name,team,role,qi,qa,fvm
D-LAZ-Pellegrini_Lu.,Pellegrini Lu.,LAZ,D,2,2,7
C-LAZ-Belahyane,Belahyane,LAZ,C,1,2,3
D-LEC-Jean,Jean,LEC,D,2,2,4
D-LEC-Ndaba,Ndaba,LEC,D,1,2,5
D-MIL-Diawara_S.,Diawara S.,MIL,D,2,2,4
D-MON-Bakoune,Bakoune,MON,D,1,2,4
C-MON-Ciurria,Ciurria,MON,C,2,2,6
A-MON-Petagna,Petagna,MON,A,2,2,5
D-NAP-Marin_R.,Marin R.,NAP,D,2,2,8
P-PAR-Corvi,Corvi,PAR,P,1,2,10
D-PAR-Ndiaye,Ndiaye,PAR,D,1,2,8
C-PAR-Cremaschi,Cremaschi,PAR,C,1,2,3
C-SAS-Boloca,Boloca,SAS,C,2,2,5
C-SAS-Lipani,Lipani,SAS,C,2,2,5
D-TOR-Biraghi,Biraghi,TOR,D,2,2,5
D-UDI-Abankwah,Abankwah,UDI,D,1,2,10
C-UDI-Zarraga,Zarraga,UDI,C,1,2,4
C-UDI-Chakvetadze,Chakvetadze,UDI,C,2,2,6
A-UDI-Buksa,Buksa,UDI,A,2,2,4
D-VEN-Sagrado,Sagrado,VEN,D,2,2,4
C-VEN-Duncan,Duncan,VEN,C,2,2,4
D-CAG-Aurelio,Aurelio,CAG,D,2,2,5
C-MON-Forson_O.,Forson O.,MON,C,1,2,1
D-MON-Goglichidze,Goglichidze,MON,D,2,2,5
D-SAS-Cinquegrano,Cinquegrano,SAS,D,1,2,4
C-MON-Foe_Ondoa,Foe Ondoa,MON,C,1,2,2
D-MIL-Terracciano_F.,Terracciano F.,MIL,D,2,2,4
D-ROM-Lulli,Lulli,ROM,D,1,2,10
D-PAR-Drobnic,Drobnic,PAR,D,1,2,1
C-UDI-Jovanovic,Jovanovic,UDI,C,2,2,5
A-BOL-Enem,Enem,BOL,A,2,2,4
P-ATA-Rossi_F.,Rossi F.,ATA,P,1,1,1
P-ATA-Sportiello,Sportiello,ATA,P,1,1,1
P-BOL-Happonen,Happonen,BOL,P,1,1,1
P-BOL-Pessina_Mas.,Pessina Mas.,BOL,P,1,1,1
D-BOL-De_Silvestri,De Silvestri,BOL,D,1,1,4
P-CAG-Ciocci,Ciocci,CAG,P,1,1,1
P-CAG-Sherri,Sherri,CAG,P,1,1,1
D-CAG-Raterink,Raterink,CAG,D,1,1,1
C-CAG-Liteta,Liteta,CAG,C,1,1,1
A-CAG-Albarracin,Albarracin,CAG,A,1,1,1
A-CAG-Trepy,Trepy,CAG,A,1,1,2
P-MON-Tornqvist,Tornqvist,MON,P,1,1,10
P-COM-Vigorito,Vigorito,COM,P,1,1,1
D-COM-Goldaniga,Goldaniga,COM,D,1,1,1
D-COM-Cuenca_A.,Cuenca A.,COM,D,1,1,8
C-COM-Lahdo,Lahdo,COM,C,1,1,1
A-COM-Azon,Azon,COM,A,1,1,1
P-FIO-Christensen_O.,Christensen O.,FIO,P,1,1,1
P-FIO-Lezzerini,Lezzerini,FIO,P,1,1,1
P-FRO-Lolic,Lolic,FRO,P,1,1,1
D-FRO-Amey,Amey,FRO,D,1,1,1
D-FRO-Gelli_J.,Gelli J.,FRO,D,1,1,1
D-FRO-Oyono_J.,Oyono J.,FRO,D,1,1,2
D-FRO-Corrado,Corrado,FRO,D,1,1,1
C-FRO-El_Azzouzi_A.,El Azzouzi A.,FRO,C,1,1,1
C-FRO-Kone_B.,Kone B.,FRO,C,1,1,3
P-GEN-Sommariva,Sommariva,GEN,P,1,1,1
P-GEN-Stolz,Stolz,GEN,P,1,1,1
D-GEN-Vogliacco,Vogliacco,GEN,D,1,1,2
D-GEN-Matturro,Matturro,GEN,D,1,1,2
P-INT-Di_Gennaro,Di Gennaro,INT,P,1,1,1
P-JUV-Pinsoglio,Pinsoglio,JUV,P,1,1,1
D-JUV-Rugani,Rugani,JUV,D,1,1,3
D-JUV-Cabal,Cabal,JUV,D,1,1,4
P-LAZ-Motta,Motta,LAZ,P,1,1,1
P-LAZ-Renzetti,Renzetti,LAZ,P,1,1,1
D-LAZ-Patric,Patric,LAZ,D,1,1,1
C-LAZ-Przyborek,Przyborek,LAZ,C,1,1,5
P-LEC-Fruchtl,Fruchtl,LEC,P,1,1,1
P-LEC-Samooja,Samooja,LEC,P,1,1,1
D-LEC-Perez_M.,Perez M.,LEC,D,1,1,1
C-LEC-Kaba,Kaba,LEC,C,1,1,2
C-LEC-Fofana_Sa.,Fofana Sa.,LEC,C,1,1,1
P-MIL-Terracciano,Terracciano,MIL,P,1,1,1
P-MIL-Torriani,Torriani,MIL,P,1,1,1
P-MON-Pizzignacco,Pizzignacco,MON,P,1,1,1
P-MON-Strajnar,Strajnar,MON,P,1,1,1
D-MON-Antov,Antov,MON,D,1,1,2
P-NAP-Contini,Contini,NAP,P,1,1,1
D-NAP-Marianucci,Marianucci,NAP,D,1,1,3
D-VEN-Mazzocchi,Mazzocchi,VEN,D,1,1,10
D-PAR-Carboni_F.,Carboni F.,PAR,D,1,1,3
P-ROM-De_Marzi,De Marzi,ROM,P,1,1,1
P-ROM-Gollini,Gollini,ROM,P,1,1,1
D-MON-Ziolkowski,Ziolkowski,MON,D,1,1,8
A-ROM-Vaz,Vaz,ROM,A,1,1,4
P-SAS-Russo_A.,Russo A.,SAS,P,1,1,1
P-SAS-Turati,Turati,SAS,P,1,1,1
D-SAS-Missori,Missori,SAS,D,1,1,2
D-SAS-Pieragnolo,Pieragnolo,SAS,D,1,1,1
C-SAS-Iannoni,Iannoni,SAS,C,1,1,1
A-SAS-Moro_L.,Moro L.,SAS,A,1,1,1
P-TOR-Mascardi,Mascardi,TOR,P,1,1,5
P-TOR-Paleari,Paleari,TOR,P,1,1,1
P-TOR-Siviero,Siviero,TOR,P,1,1,1
C-LEC-Ilic,Ilic,LEC,C,1,1,10
C-TOR-Anjorin,Anjorin,TOR,C,1,1,4
P-UDI-Padelli,Padelli,UDI,P,1,1,1
P-UDI-Piana,Piana,UDI,P,1,1,1
D-UDI-Mlacic,Mlacic,UDI,D,1,1,3
C-UDI-Camara_A.,Camara A.,UDI,C,1,1,3
A-UDI-Bayo_V.,Bayo V.,UDI,A,1,1,3
P-VEN-Grandi,Grandi,VEN,P,1,1,1
P-VEN-Pozzi,Pozzi,VEN,P,1,1,1
D-VEN-Gomes,Gomes,VEN,D,1,1,1
C-VEN-Bjarkason,Bjarkason,VEN,C,1,1,3
C-VEN-Dagasso,Dagasso,VEN,C,1,1,1
A-VEN-Lisman,Lisman,VEN,A,1,1,1
A-VEN-Lauberbach,Lauberbach,VEN,A,1,1,1
P-ATA-Vismara,Vismara,ATA,P,1,1,1
P-SAS-Satalino,Satalino,SAS,P,1,1,1
P-LEC-Penev,Penev,LEC,P,1,1,1
P-FRO-Pisseri,Pisseri,FRO,P,1,1,1
P-CAG-Radunovic,Radunovic,CAG,P,1,1,1
A-PAR-De_Martis,De Martis,PAR,A,1,1,1
P-VEN-Montipò,Montipò,VEN,P,1,1,1
D-FRO-Omar_Fayed,Omar Fayed,FRO,D,1,1,1
P-LEC-Bleve,Bleve,LEC,P,1,1,1
C-LEC-Laerke,Laerke,LEC,C,1,1,1
C-MIL-Comotto,Comotto,MIL,C,1,1,1
D-SAS-Macchioni,Macchioni,SAS,D,1,1,1
C-MON-Mout,Mout,MON,C,1,1,12
C-CAG-Ciervo,Ciervo,CAG,C,1,1,1
P-JUV-Grabara,Grabara,JUV,P,1,1,1
D-MON-Maye,Maye,MON,D,1,1,1
P-UDI-Mrozek,Mrozek,UDI,P,1,1,1
D-LEC-Dembelè_A.,Dembelè A.,LEC,D,1,1,2
P-PAR-Ghidotti,Ghidotti,PAR,P,1,1,1
A-GEN-Robinho_Junior,Robinho Junior,GEN,A,1,1,3
P-ATA-Pompei,Pompei,ATA,P,1,1,1
C-PAR-Sierro,Sierro,PAR,C,1,1,1
